Day,Susceptible,Infectious,Recovered
0,1.0,2e-06,0.0
1,0.9999993333333334,2.466666666666666e-06,2e-07
2,0.9999985111116593,3.0422216740740734e-06,4.4666666666666664e-07
3,0.9999974970392778,3.752071888181897e-06,7.50888834074074e-07
4,0.9999962463517788,4.627552198328152e-06,1.1260960228922637e-06
5,0.9999947038401694,5.707308587870362e-06,1.588851242725079e-06
6,0.9999928014140491,7.0390038494339525e-06,2.159582101512115e-06
7,0.9999904550963229,8.681421190677136e-06,2.8634824864555106e-06
8,0.9999875613168805,1.0707058514058785e-05,3.7316246055232243e-06
9,0.9999839923417697,1.32053277734365e-05,4.802330456929103e-06
10,0.9999795906363074,1.628650045844708e-05,6.122863234272753e-06
11,0.9999741619136202,2.0086573099714356e-05,7.75151328011746e-06
12,0.9999674665622532,2.4773267156777432e-05,9.760170590088897e-06
13,0.9999592090751874,3.055342750684389e-05,1.223749730576664e-05
14,0.999949025014786,3.768214515758606e-05,1.529284005645103e-05
15,0.9999364649400158,4.647400541209206e-05,1.9061054572209635e-05
16,0.9999209745891213,5.731695576533969e-05,2.3708455113418842e-05
17,0.9999018704470315,7.06894022785924e-05,2.944015068995281e-05
18,0.9998783096251784,8.718128390378222e-05,3.650909091781205e-05
19,0.9998492527335848,0.0001075200471069595,4.522721930819027e-05
20,0.9998134181206669,0.00013260265531418798,5.5979224018886226e-05
21,0.9997692254826465,0.00016353502780328748,6.923948955030502e-05
22,0.9997147263866177,0.00020168062105168396,8.559299233063376e-05
23,0.999647518690987,0.00024872025457723805,0.00010576105443580216
24,0.9995646411625415,0.00030672575756495645,0.00013063307989352597
25,0.9994624437552763,0.0003782505890737023,0.00016130565565002162
26,0.9993364280025737,0.0004664412828688239,0.00019913071455739185
27,0.9991810507474087,0.0005751744097469644,0.00024577484284427423
28,0.998989482957044,0.0007092247591369321,0.00030329228381897064
29,0.9987533135985672,0.0008744716417000849,0.00037421475973266387
30,0.9984621864486353,0.001078151627462056,0.0004616619239026724
31,0.9981033552382089,0.0013291676751421566,0.000569477086648878
32,0.9976611396661311,0.001638466479705793,0.0007023938541630937
33,0.9971162615543151,0.0020194979435512257,0.0008662405021336731
34,0.9964450368077516,0.0024887728957595787,0.0010681902964887956
35,0.9956183950078445,0.0030665374060907164,0.0013170675860647535
36,0.9946006946576834,0.003777584015642831,0.0016237213266738252
37,0.9933482987623213,0.004652221509440588,0.0020014797282381083
38,0.9918078733216986,0.005727424799119291,0.002466701879182167
39,0.9899143716518238,0.007048183989082182,0.003039444359094096
40,0.987588672110211,0.008669065131786875,0.0037442627580023145
41,0.9847348486028982,0.010655982125920964,0.004611169271181002
42,0.9812370762877368,0.013088156228490192,0.005676767483773099
43,0.9769562149038565,0.016060201989521454,0.006985583106622118
44,0.9717261768550984,0.019684219839327395,0.008591603305574264
45,0.9653502862921501,0.024091688418342954,0.010560025289507002
46,0.9575979801881805,0.029434825680478203,0.012969194131341299
47,0.9482024036485749,0.03588691965203609,0.01591267669938912
48,0.9368597158240403,0.04364091551136711,0.01950136866459273
49,0.9232312439226135,0.052905295861657174,0.02386546021572944
50,0.9069499698864629,0.063896040311642,0.029155989801895158
51,0.887633132607627,0.07682327355931379,0.03554559383305936
52,0.8649028382854183,0.0918712405255912,0.043227921188990735
53,0.8384162727229562,0.10917068203549414,0.05241504524154986
54,0.8079061139486822,0.12876377260621874,0.06333211344509927
55,0.7732297675674615,0.1505637417268175,0.07620849070572115
56,0.7344229785609567,0.17431415656064056,0.09126486487840291
57,0.6917495378720879,0.19955618159344535,0.10869628053446696
58,0.6457352390731599,0.2256148622330289,0.1286518986938115
59,0.5971727500723256,0.2516158650105603,0.1512133849171144
60,0.5470867040489311,0.27654032453289873,0.17637497141817043
61,0.49665619248715603,0.2993168036413839,0.2040290038714603
62,0.44710367780583754,0.318937637958564,0.2339606842355987
63,0.39957094749851063,0.33457660447003446,0.2658544480314551
64,0.3550085838788686,0.3456813076426731,0.2993121084784585
65,0.3141019733789949,0.3520197873782794,0.3338802392427258
66,0.2772452700843377,0.3536745119351087,0.36908221798055374
67,0.24456040822320585,0.35099192260272966,0.4044496691740646
68,0.21594749893161536,0.3445056396340472,0.4395488614343376
69,0.19114912184934574,0.33485345275291206,0.4739994253977423
70,0.16981347403536556,0.322703755291601,0.5074847706730335
71,0.15154699211192382,0.30869986168588265,0.5397551462021937
72,0.13595281361063635,0.29342405401858185,0.5706251323707819
73,0.12265553836901451,0.2773789238583455,0.5999675377726401
74,0.1113148512896601,0.26098171855186536,0.6277054301584747
75,0.10163113755968649,0.24456726042665244,0.6538036020136613
76,0.09334592126401423,0.22839575067965945,0.6782603280563265
77,0.08623931734402125,0.21266277953168647,0.7010999031242925
78,0.08012601970025635,0.19750979922228273,0.7223661810774611
79,0.07485079501243025,0.18303404398788056,0.7421171609996894
80,0.07028404711015258,0.16929738749137016,0.7604205653984775
81,0.06631774525746284,0.1563339505949229,0.7773503041476145
82,0.06286184022058054,0.14415646057231288,0.7929836992071068
83,0.05984119342349349,0.13276146131216865,0.8073993452643381
84,0.05719299199497111,0.12213351660947416,0.820675491395555
85,0.05486459824905,0.11224855869444786,0.8328888430565023
86,0.05281177422344807,0.103076526850605,0.8441136989259471
87,0.05099722280219096,0.0945834255868016,0.8544213516110076
88,0.0493893921261761,0.0867329137041363,0.8638796941696878
89,0.04796149683111631,0.07948751762878246,0.8725529855401014
90,0.04669071672282759,0.07280954597419292,0.8805017373029796
91,0.045557540094228015,0.06666176800537321,0.8877826919003989
92,0.04454522470467571,0.0610079065943882,0.8944488687009362
93,0.04363935440200608,0.05581298623761901,0.900549659360375
94,0.042827473506453495,0.05104356850940969,0.9061309579841369
95,0.04209878448044963,0.04666790068447259,0.9112353148350779
96,0.04144389718275942,0.04265599791371554,0.9159021049035252
97,0.04085462025217141,0.038979675052932,0.9201677046948967
98,0.04032378697822455,0.03561254082158566,0.92406567220019
99,0.03984510947494357,0.03252996424270808,0.9276269262823486
100,0.03941305614612133,0.029709021147259505,0.9308799227066193
101,0.03902274837328025,0.027128426805374636,0.9338508248213453
102,0.038669873115617225,0.0247684593825002,0.9365636675018828
